Price History: SP50,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
04/24/24,"5,071.63",3044478129.00066,1.08,0.02,"11,028.46",135.39,"5,084.86","5,089.48","5,047.02"
04/23/24,"5,070.55",2765330421.74721,59.95,1.20,"11,026.06",135.34,"5,028.85","5,076.12","5,027.96"
04/22/24,"5,010.60",2914050176.20659,43.37,0.87,"10,895.47",132.56,"4,987.33","5,038.84","4,969.40"
04/19/24,"4,967.23",3563257789.77585,-43.89,-0.88,"10,801.16",130.54,"5,005.44","5,019.02","4,953.56"
04/18/24,"5,011.12",2645630334.98192,-11.09,-0.22,"10,896.07",132.57,"5,031.52","5,056.66","5,001.89"
04/17/24,"5,022.21",2761083171.40579,-29.21,-0.58,"10,919.49",133.07,"5,068.97","5,077.96","5,007.25"
04/16/24,"5,051.41",2707112550.53138,-10.40,-0.21,"10,982.99",134.42,"5,064.59","5,079.84","5,039.83"
04/15/24,"5,061.82",2741153076.68114,-61.59,-1.20,"11,005.61",134.91,"5,149.67","5,168.43","5,052.47"
04/12/24,"5,123.41",2833948578.79639,-75.65,-1.46,"11,139.38",137.76,"5,171.51","5,175.03","5,107.94"
04/11/24,"5,199.06",2644523349.0181,38.42,0.74,"11,302.53",141.24,"5,172.95","5,211.78","5,138.77"
04/10/24,"5,160.64",2713490223.5508,-49.27,-0.95,"11,218.73",139.46,"5,167.88","5,178.43","5,138.70"
04/09/24,"5,209.91",2516432596.43936,7.52,0.14,"11,325.63",141.74,"5,217.03","5,224.81","5,160.78"
04/08/24,"5,202.39",2283546102.3941,-1.94,-0.04,"11,307.66",141.35,"5,211.37","5,219.57","5,197.35"
